Name,PPG,FG%,FT%
Shai Gilgeous-Alexander,32.7,51.9,89.8
Giannis Antetokounmpo,30.4,60.1,61.7
Nikola Jokic,29.6,57.6,80.0
Luka Doncic,28.2,45.0,78.2
Anthony Edwards,27.6,44.7,83.7
Jayson Tatum,26.8,45.2,81.4
Kevin Durant,26.6,52.7,83.9
Tyrese Maxey,26.3,43.7,87.9
Cade Cunningham,26.1,46.9,84.6
Jalen Brunson,26.0,48.8,82.1
Paolo Banchero,25.9,45.2,72.7
Devin Booker,25.6,46.1,89.4
LaMelo Ball,25.2,40.5,84.3
Damian Lillard,24.9,44.8,92.1
Anthony Davis,24.7,51.6,77.5
Kyrie Irving,24.7,47.3,91.6
Zion Williamson,24.6,56.7,65.6
Stephen Curry,24.5,44.8,93.3
LeBron James,24.4,51.3,78.2
Karl-Anthony Towns,24.4,52.6,82.9
Victor Wembanyama,24.3,47.6,83.6
Franz Wagner,24.2,46.3,87.1
Trae Young,24.2,41.1,87.5
Donovan Mitchell,24.0,44.3,82.3
Cam Thomas,24.0,43.8,88.1
Tyler Herro,23.9,47.2,87.8
Joel Embiid,23.8,44.4,88.2
De'Aaron Fox,23.5,46.3,82.7
Zach LaVine,23.3,51.1,82.5
Ja Morant,23.2,45.4,82.4
James Harden,22.8,41.0,87.4
Jaylen Brown,22.2,46.3,76.4
DeMar DeRozan,22.2,47.7,85.7
Brandon Ingram,22.2,46.5,85.5
Jaren Jackson Jr.,22.2,48.8,78.1
Norman Powell,21.8,48.4,80.4
Jalen Williams,21.6,48.4,78.9
Kawhi Leonard,21.5,49.8,81.0
Jamal Murray,21.4,47.4,88.6
Trey Murphy III,21.2,45.4,88.7
RJ Barrett,21.1,46.8,63.0
CJ McCollum,21.1,44.4,71.7
Jalen Green,21.0,42.3,81.3
Brandon Miller,21.0,40.3,86.1
Darius Garland,20.6,47.2,87.8
Jordan Poole,20.5,43.2,88.3
Coby White,20.4,45.3,90.2
Miles Bridges,20.3,43.1,87.0
Austin Reaves,20.2,46.0,87.7
Pascal Siakam,20.2,51.9,73.4
Kristaps Porzingis,19.5,48.3,80.9
Scottie Barnes,19.3,44.6,75.5
Anfernee Simons,19.3,42.6,90.2
Desmond Bane,19.2,48.4,89.4
Domantas Sabonis,19.1,59.0,75.4
Alperen Sengun,19.1,49.6,69.2
John Collins,19.0,52.7,84.8
Lauri Markkanen,19.0,42.3,87.6
Jalen Johnson,18.9,50.0,74.6
Cameron Johnson,18.8,47.5,89.3
Julius Randle,18.7,48.5,80.6
Tyrese Haliburton,18.6,47.3,85.1
Evan Mobley,18.5,55.7,72.5
Shaedon Sharpe,18.5,45.2,78.5
Nikola Vucevic,18.5,53.0,80.5
Collin Sexton,18.4,48.0,86.5
Michael Porter Jr.,18.2,50.4,76.8
Bam Adebayo,18.1,48.5,76.5
Andrew Wiggins,18.0,44.8,76.3
OG Anunoby,18.0,47.6,81.0
Mikal Bridges,17.6,50.0,81.4
Jaden Ivey,17.6,46.0,73.3
Jimmy Butler,17.5,50.4,84.2
Dejounte Murray,17.5,39.3,82.3
Malik Monk,17.2,43.9,86.5
Immanuel Quickley,17.1,42.0,86.7
De'Andre Hunter,17.0,47.0,84.6
Bradley Beal,17.0,49.7,80.3
Deni Avdija,16.9,47.6,78.0
Keyonte George,16.8,39.1,81.8
Ivica Zubac,16.8,62.8,66.1
Derrick White,16.4,44.2,83.9
Malik Beasley,16.3,43.0,67.9
Devin Vassell,16.3,44.3,79.2
Jordan Clarkson,16.2,40.8,79.7
Paul George,16.2,43.0,81.4
Jalen Suggs,16.2,41.0,88.2
Bennedict Mathurin,16.1,45.8,83.1
Myles Turner,15.6,48.1,77.3
Christian Braun,15.4,58.0,82.7
Jonathan Kuminga,15.3,45.4,66.8
Jared McCain,15.3,46.0,87.5
Mark Williams,15.3,60.4,80.4
Kelly Oubre Jr.,15.1,47.0,75.1
Chet Holmgren,15.0,49.0,75.4
Kyle Kuzma,14.8,43.6,63.4
Stephon Castle,14.7,42.8,72.4
Aaron Gordon,14.7,53.1,81.0
P.J. Washington,14.7,45.3,72.2
Quentin Grimes,14.6,46.7,75.7
Josh Giddey,14.6,46.5,78.1
Jakob Poeltl,14.5,62.7,67.4
Deandre Ayton,14.4,56.6,66.7
Gradey Dick,14.4,41.0,85.8
Jerami Grant,14.4,37.3,84.9
Payton Pritchard,14.3,47.2,84.5
Naz Reid,14.2,46.2,77.6
Dyson Daniels,14.1,49.3,59.3
Tre Mann,14.1,43.5,90.5
Amen Thompson,14.1,55.7,68.4
Fred VanVleet,14.1,37.8,81.0
Dillon Brooks,14.0,42.9,81.8
Tolu Smith,14.0,66.7,66.7
Klay Thompson,14.0,41.2,90.5
Bobby Portis,13.9,46.6,83.6
Tobias Harris,13.7,47.7,86.1
Josh Hart,13.6,52.5,77.6
Jarrett Allen,13.5,70.6,71.8
Onyeka Okongwu,13.4,56.7,75.9
Russell Westbrook,13.3,44.9,66.1
Naji Marshall,13.2,50.8,81.3
Dennis Schroder,13.1,40.6,83.8
Rui Hachimura,13.1,50.9,77.0
Brook Lopez,13.0,50.9,82.6
Alex Sarr,13.0,39.4,67.9
Moritz Wagner,12.9,56.2,71.8
Malcolm Brogdon,12.7,43.3,88.0
Scoot Henderson,12.7,41.9,76.7
Keldon Johnson,12.7,48.2,77.3
D'Angelo Russell,12.6,39.0,83.4
Zaccharie Risacher,12.6,45.8,71.1
Santi Aldama,12.5,48.3,69.1
Ty Jerome,12.5,51.6,87.2
Keegan Murray,12.4,44.4,83.3
Lonnie Walker IV,12.4,42.0,80.0
Harrison Barnes,12.3,50.8,80.9
Bilal Coulibaly,12.3,42.1,74.6
Ayo Dosunmu,12.3,49.2,78.5
Daniel Gafford,12.3,70.2,68.9
Jaden McDaniels,12.2,47.7,81.3
Jabari Smith Jr.,12.2,43.8,82.5
Caris LeVert,12.1,46.7,71.0
Drew Timme,12.1,44.1,62.5
Tari Eason,12.0,48.7,76.0
Rudy Gobert,12.0,66.9,67.4
Aaron Nesmith,12.0,50.7,91.3
Aaron Wiggins,12.0,48.8,83.1
Khris Middleton,11.9,47.5,85.7
Jalen Duren,11.8,69.2,66.9
Donte DiVincenzo,11.7,42.2,77.8
Brandin Podziemski,11.7,44.5,75.8
Corey Kispert,11.6,45.1,85.2
Jeremy Sochan,11.4,53.5,69.6
Toumani Camara,11.3,45.8,72.2
Isaiah Hartenstein,11.2,58.1,67.5
Buddy Hield,11.1,41.7,82.8
Jrue Holiday,11.1,44.3,90.9
Walker Kessler,11.1,66.3,52.0
Gary Trent Jr.,11.1,43.1,84.8
Spencer Dinwiddie,11.0,41.6,80.2
Tim Hardaway Jr.,11.0,40.6,85.5
Duncan Robinson,11.0,43.7,88.7
Guerschon Yabusele,11.0,50.1,72.5
Brice Sensabaugh,10.9,45.9,89.0
Bogdan Bogdanovic,10.8,42.7,87.9
Jordan Hawkins,10.8,37.2,81.6
Brandon Boston Jr.,10.7,43.6,78.8
Nikola Jovic,10.7,45.6,82.8
Grayson Allen,10.6,44.8,81.6
Keon Johnson,10.6,38.9,77.0
Terry Rozier,10.6,39.1,85.2
Obi Toppin,10.5,52.9,78.1
Jonas Valanciunas,10.4,55.0,87.9
Ochai Agbaji,10.4,49.8,70.8
Jaylen Wells,10.4,42.5,82.2
Grant Williams,10.4,43.9,83.8
Kevin Porter Jr.,10.3,44.9,76.9
Jose Alvarado,10.3,39.2,81.1
Nic Claxton,10.3,56.3,51.3
Herbert Jones,10.3,43.6,82.5
De'Anthony Melton,10.3,40.7,62.5
Isaiah Joe,10.2,44.0,82.1
Tyus Jones,10.2,44.8,89.5
Trendon Watford,10.2,46.9,76.2
Keion Brooks Jr.,10.1,48.6,73.3
Luguentz Dort,10.1,43.5,71.7
Justin Edwards,10.1,45.5,69.6
Derrick Jones Jr.,10.1,52.6,70.3
Ausar Thompson,10.1,53.5,64.1
Chris Boucher,10.0,49.2,78.2
Andrew Nembhard,10.0,45.8,79.4
Ziaire Williams,10.0,41.2,82.1
Kevin Huerter,9.9,42.5,71.4
Georges Niang,9.9,46.1,79.3
Julian Champagnie,9.9,41.5,90.4
Scotty Pippen Jr.,9.9,48.0,71.3
Nick Smith Jr.,9.9,39.1,93.5
Bub Carrington,9.8,40.1,81.2
Moses Moody,9.8,43.3,79.7
Amir Coffey,9.7,47.1,89.1
